Nombre,CIF,Es Factura,Total,Invoice Num,Fecha,IVA 1,IVA 2
ticket1228.json,NaN,No,40001,NaN,25/06/2018,NaN,NaN
ticket1229.json,B18905182,No,29.6,comesales2,27/06/2019,NaN,NaN
ticket123.json,E40253932,No,1.7,fecha:tv-49976,19/12/2019,10,NaN
ticket1236.json,A86868189,No,8984,NaN,20/03/2020,10,NaN
ticket1237.json,A86868189,No,8994,NaN,20/03/2020,10,NaN
ticket1238.json,NaN,No,88.2,NaN,20/03/2020,10,NaN
ticket1239.json,A86868189,No,0,NaN,Invalid date,10,NaN
ticket124.json,NaN,No,8224,NaN,20/03/2020,10,NaN
ticket1240.json,NaN,No,1.35,NaN,17/06/2019,NaN,NaN
ticket1241.json,NaN,No,4.6,NaN,17/06/2019,NaN,NaN
ticket1242.json,A82492729,No,0,NaN,17/06/2019,21,NaN
ticket1243.json,B18905182,Si,35.9,comesales2,Invalid date,10,NaN
ticket1244.json,B18905182,No,54.3,NaN,Invalid date,10,NaN
ticket1245.json,NaN,No,23,NaN,23/06/2018,NaN,NaN
ticket1246.json,A13048434,No,3.3,NaN,Invalid date,10,NaN
ticket1247.json,NaN,No,10.3,NaN,07/06/2010,10,NaN
ticket1248.json,NaN,No,8984,NaN,09/06/2019,NaN,NaN
ticket1249.json,NaN,No,9984,NaN,Invalid date,NaN,NaN
ticket125.json,NaN,No,8224,NaN,20/03/2020,10,NaN
ticket1250.json,B18905182,No,49.3,comesales3,10/07/2006,NaN,NaN
ticket1251.json,NaN,No,0,coserveestecomoantia,05/06/2016,10,NaN
ticket1252.json,NaN,No,8.2,rcajafecha/hora/turo,23/03/0620,10,NaN
ticket1253.json,NaN,No,7,NaN,11/06/2019,21,NaN
ticket1255.json,B18905182,Si,66,comesales4,Invalid date,10,NaN
ticket1256.json,A28425270,No,13.38,NaN,Invalid date,4,NaN
ticket1257.json,A60526928,No,8984,simplificada6295/0613/00613,13/06/2019,21,NaN
ticket1258.json,A82492729,No,0,NaN,14/06/2019,21,NaN
ticket126.json,NaN,No,24.6,estacia,14/11/2019,21,NaN
ticket1260.json,B18905182,No,45,comesales2,Invalid date,10,NaN
ticket1261.json,NaN,Si,5,NaN,Invalid date,NaN,NaN
ticket1266.json,NaN,No,2.8,simpl00001tb007743,20/06/2019,10,NaN
ticket1267.json,J27416544,No,2.65,compracoserveelenvoltoroylaea,Invalid date,NaN,NaN
ticket1268.json,NaN,No,2.8,simpl00001tb007555,19/06/2019,10,NaN
ticket1269.json,NaN,No,0,NaN,20/03/2020,NaN,NaN
ticket127.json,NaN,No,10,coesteobtieneunscuento,Invalid date,NaN,NaN
ticket1270.json,NaN,No,4,simplificada/,Invalid date,NaN,NaN
ticket1271.json,NaN,No,0.79,NaN,Invalid date,NaN,NaN
ticket1272.json,NaN,No,22,NaN,Invalid date,NaN,NaN
ticket1273.json,B06473581,No,10,NaN,20/05/2019,10,NaN
ticket1274.json,A78492782,No,8.95,e/salcalapueblo15698,Invalid date,21,NaN
ticket1275.json,NaN,No,3.25,NaN,15/05/2019,21,NaN
ticket1276.json,NaN,No,12.1,Ticket Num:,16/05/2019,NaN,NaN
ticket1277.json,NaN,No,7.15,NaN,Invalid date,4,NaN
ticket1278.json,NaN,No,30.95,NaN,Invalid date,NaN,NaN
ticket1279.json,NaN,No,0,316670,Invalid date,NaN,NaN
ticket128.json,NaN,No,0,NaN,14/11/2019,21,NaN
ticket1280.json,NaN,No,28.94,seadmitevolucionescon,Invalid date,NaN,NaN
ticket1281.json,NaN,No,4.25,NaN,Invalid date,NaN,NaN
ticket1282.json,NaN,No,27,NaN,09/05/2019,NaN,NaN
ticket1283.json,A28670396,No,7.45,NaN,30/04/2019,21,NaN
ticket1284.json,NaN,No,0,NaN,Invalid date,NaN,NaN
ticket1285.json,NaN,No,100,NaN,21/05/2019,NaN,NaN
ticket1286.json,NaN,No,477.72,1mudial,09/05/2019,NaN,NaN
ticket1287.json,NaN,No,443.13,NaN,21/05/2019,NaN,NaN
ticket1288.json,NaN,No,150,NaN,17/06/2019,NaN,NaN
ticket1289.json,NaN,No,9.95,NaN,20/03/2020,NaN,NaN
ticket129.json,NaN,No,74.82,"rúatelleira,10",29/04/2008,10,NaN
ticket1298.json,31678000P,No,8.6,15125,03/05/2019,21,NaN
